First Ingredient,Second Ingredient,Normalized Common Recipe Weight,Normalized Common Compound weight
eggplant,vanilla,0.0,-1.0
eggplant,dried_grapes,0.0,-1.0
eggplant,apple,0.0,-1.0
eggplant,grated_cheese,0.0,-1.0
eggplant,raisin,0.0,-1.0
eggplant,five_spices,0.0,-1.0
eggplant,whipped_cream,0.0,-1.0
eggplant,sea_almonds,0.0,-1.0
eggplant,soy_sauce,0.0,-1.0
eggplant,brown_sugar,0.0,-1.0
eggplant,albahaca,0.0,-1.0
eggplant,Jie_Mo,0.0,-1.0
eggplant,mustard,0.0,-1.0
eggplant,honey,0.0,-1.0
eggplant,rabbit,0.0,-1.0
eggplant,white_wine,0.0,-1.0
eggplant,rosemary,0.0,-1.0
eggplant,mushroom,0.0,-1.0
eggplant,rice,0.0,-1.0
eggplant,rye_flour,0.0,-1.0
eggplant,wheat_flour,0.0,-1.0
eggplant,joghurt,0.0,-1.0
eggplant,concentrated_milk,0.0,-1.0
eggplant,whiskey,0.0,-1.0
eggplant,biscuit,0.0,-1.0
eggplant,hazelnut,0.0,-1.0
eggplant,apricot,0.0,-1.0
eggplant,chocolate,0.0,-1.0
eggplant,anchovy,0.0,-1.0
eggplant,tuna,0.0,-1.0
eggplant,fish,0.0,-1.0
eggplant,semolina,0.0,-1.0
eggplant,margarine,0.0,-1.0
eggplant,raclette,0.0,-1.0
eggplant,mandarin,0.0,-1.0
eggplant,date,0.0,-1.0
eggplant,aromatic_herbs,0.0,-1.0
eggplant,olive,0.022222222222222223,-1.0
eggplant,cocoa,0.0,-1.0
eggplant,sesame,0.0,-1.0
eggplant,flour,0.0,-1.0
eggplant,almond,0.0,-1.0
eggplant,berries,0.0,-1.0
eggplant,whisky,0.0,-1.0
eggplant,macaroni,0.0,-1.0
eggplant,blue_cheese,0.0,-1.0
eggplant,steak,0.0,-1.0
eggplant,veal,0.0,-1.0
eggplant,shallots,0.0,-1.0
eggplant,sherry_vinegar,0.0,-1.0
eggplant,porto,0.0,-1.0
eggplant,sausage,0.0,-1.0
eggplant,rocket,0.0,-1.0
eggplant,bran,0.0,-1.0
eggplant,truffle_oil,0.0,-1.0
eggplant,truffle,0.0,-1.0
eggplant,erva_doce,0.0,-1.0
eggplant,breadcrumbs,0.0,-1.0
eggplant,Ying_Su,0.0,-1.0
eggplant,Lian_Ru,0.0,-1.0
eggplant,mozzarella,0.0,-1.0
eggplant,cream_cheese,0.0,-1.0
eggplant,pasta_sfoglia,0.0,-1.0
eggplant,spinach,0.0,-1.0
eggplant,shells,0.0,-1.0
eggplant,mont_d'or,0.0,-1.0
eggplant,mussel,0.0,-1.0
eggplant,acqua,0.0,-1.0
eggplant,green_olive,0.0,-1.0
eggplant,ham,0.0,-1.0
eggplant,artichoke,0.0,-1.0
eggplant,bread,0.0,-1.0
eggplant,pesto,0.0,-1.0
eggplant,sunflower_oil,0.0,-1.0
eggplant,mascarpone,0.0,-1.0
eggplant,ginger,0.0,-1.0
eggplant,coffee,0.0,-1.0
eggplant,broccoli,0.0,-1.0
eggplant,walnut,0.0,-1.0
eggplant,pomegranate,0.0,-1.0
eggplant,aceto_balsamico,0.0,-1.0
eggplant,He_Tao,0.0,-1.0
eggplant,maple_syrup,0.0,-1.0
eggplant,white_bread,0.0,-1.0
eggplant,hard_cheese,0.0,-1.0
eggplant,chili_pepper,0.0,-1.0
eggplant,henne,0.0,-1.0
eggplant,fresa,0.0,-1.0
eggplant,wild_strawberry,0.0,-1.0
eggplant,sour_cream,0.0,-1.0
eggplant,filling,0.0,-1.0
eggplant,sheep,0.0,-1.0
eggplant,cornstarch,0.0,-1.0
eggplant,red_cabbage,0.0,-1.0
eggplant,balsamic_vinegar,0.0,-1.0
eggplant,groundcherry,0.0,-1.0
eggplant,lettuce,0.0,-1.0
eggplant,Ning_Ru,0.0,-1.0
