,FirstIng,FirstCategory,SecondIng,SecondCategory,CommonRec.n,CommonComp.n
192,olive oil,plant derivative,rosemary,herb,0.1,0.0
193,olive oil,plant derivative,mushroom,vegetable,0.1,0.008695652173913044
194,olive oil,plant derivative,rice,cereal/crop,0.2,0.0
195,olive oil,plant derivative,rye flour,cereal/crop,0.1,0.0
196,olive oil,plant derivative,wheat flour,,0.1,0.0
197,olive oil,plant derivative,joghurt,,0.1,0.0
198,olive oil,plant derivative,anchovy,,0.2,0.0
199,olive oil,plant derivative,tuna,fish/seafood,0.2,0.0
200,olive oil,plant derivative,oregano,herb,0.1,0.0
201,olive oil,plant derivative,fish,fish/seafood,0.1,0.0
202,olive oil,plant derivative,eggplant,,0.1,0.0
203,olive oil,plant derivative,celery salt,,0.2,0.0
204,olive oil,plant derivative,olive,fruit,0.1,0.02608695652173913
205,olive oil,plant derivative,cocoa,plant derivative,0.1,0.008695652173913044
206,olive oil,plant derivative,sesame,,0.1,0.0
207,olive oil,plant derivative,shallots,,0.1,0.0
208,olive oil,plant derivative,sherry vinegar,,0.1,0.0
209,olive oil,plant derivative,porto,,0.1,0.0
210,olive oil,plant derivative,sausage,,0.1,0.0
211,olive oil,plant derivative,rocket,,0.1,0.0
212,olive oil,plant derivative,bran,,0.1,0.0
213,olive oil,plant derivative,truffle oil,,0.1,0.0
214,olive oil,plant derivative,truffle,vegetable,0.1,0.0
215,olive oil,plant derivative,erva doce,,0.1,0.0
216,olive oil,plant derivative,kohlrabi,vegetable,0.1,0.0
217,olive oil,plant derivative,cauliflower,vegetable,0.1,0.0
218,olive oil,plant derivative,soft bread,,0.1,0.0
219,onion,vegetable,garlic,vegetable,0.8,0.1391304347826087
220,onion,vegetable,zucchini,vegetable,0.1,0.0
221,onion,vegetable,pumpkin,vegetable,0.1,0.043478260869565216
222,onion,vegetable,green pepper,,0.1,0.0
223,onion,vegetable,parsley,herb,0.5,0.043478260869565216
224,onion,vegetable,mint,herb,0.1,0.008695652173913044
225,onion,vegetable,egg,animal product,0.4,0.11304347826086956
226,onion,vegetable,ricotta,,0.1,0.0
227,onion,vegetable,pepper,spice,0.6,0.0
228,onion,vegetable,tomato,vegetable,0.7,0.17391304347826086
229,onion,vegetable,caper,,0.1,0.0
230,onion,vegetable,anise,spice,0.1,0.0
231,onion,vegetable,cinnamon,spice,0.1,0.034782608695652174
232,onion,vegetable,green leaves,,0.5,0.0
233,onion,vegetable,lemon,fruit,0.1,0.06086956521739131
234,onion,vegetable,rabbit,,0.1,0.0
235,onion,vegetable,vegetable broth,,0.2,0.0
236,onion,vegetable,curry,,0.2,0.0
237,onion,vegetable,turmeric,spice,0.1,0.0
238,onion,vegetable,paprika,,0.1,0.0
239,onion,vegetable,cumin,spice,0.1,0.0
240,onion,vegetable,chicken,meat,0.3,0.17391304347826086
241,onion,vegetable,potato,vegetable,0.3,0.1391304347826087
242,onion,vegetable,pea,vegetable,0.2,0.10434782608695652
243,onion,vegetable,red wine,alcoholic beverage,0.3,0.13043478260869565
244,onion,vegetable,clove,spice,0.1,0.02608695652173913
245,onion,vegetable,bacon,meat,0.3,0.1565217391304348
246,onion,vegetable,beef,meat,0.2,0.2608695652173913
247,onion,vegetable,pork,meat,0.2,0.1565217391304348
248,onion,vegetable,nutmeg,spice,0.1,0.0
249,onion,vegetable,pasta,,0.1,0.0
250,onion,vegetable,parmesan,dairy,0.2,0.0
251,onion,vegetable,puff pastry,,0.2,0.0
252,onion,vegetable,milk,dairy,0.2,0.19130434782608696
253,onion,vegetable,schalotte,,0.1,0.0
254,onion,vegetable,broad bean,,0.1,0.0
255,onion,vegetable,carrot,vegetable,0.2,0.05217391304347826
256,onion,vegetable,grated cheese,,0.1,0.0
257,onion,vegetable,white wine,alcoholic beverage,0.1,0.16521739130434782
258,onion,vegetable,rosemary,herb,0.1,0.008695652173913044
259,onion,vegetable,mushroom,vegetable,0.1,0.13043478260869565
260,onion,vegetable,rice,cereal/crop,0.1,0.1391304347826087
261,onion,vegetable,oregano,herb,0.1,0.0
262,onion,vegetable,celery salt,,0.1,0.0
263,onion,vegetable,macaroni,cereal/crop,0.1,0.0
264,onion,vegetable,blue cheese,dairy,0.1,0.17391304347826086
265,onion,vegetable,steak,,0.1,0.0
266,onion,vegetable,veal,meat,0.1,0.0782608695652174
267,onion,vegetable,kohlrabi,vegetable,0.1,0.05217391304347826
268,onion,vegetable,cauliflower,vegetable,0.1,0.05217391304347826
269,onion,vegetable,soft bread,,0.1,0.0
270,garlic,vegetable,zucchini,vegetable,0.1,0.0
271,garlic,vegetable,pumpkin,vegetable,0.1,0.008695652173913044
272,garlic,vegetable,green pepper,,0.2,0.0
273,garlic,vegetable,parsley,herb,0.8,0.017391304347826087
274,garlic,vegetable,mint,herb,0.1,0.017391304347826087
275,garlic,vegetable,egg,animal product,0.5,0.034782608695652174
276,garlic,vegetable,ricotta,,0.1,0.0
277,garlic,vegetable,pepper,spice,0.6,0.008695652173913044
278,garlic,vegetable,tomato,vegetable,0.8,0.034782608695652174
279,garlic,vegetable,black olive,,0.1,0.0
280,garlic,vegetable,caper,,0.1,0.0
281,garlic,vegetable,anise,spice,0.2,0.0
282,garlic,vegetable,cinnamon,spice,0.2,0.008695652173913044
283,garlic,vegetable,green leaves,,0.7,0.0
284,garlic,vegetable,thyme,herb,0.1,0.0
285,garlic,vegetable,white pepper,,0.1,0.0
286,garlic,vegetable,lemon,fruit,0.4,0.008695652173913044
287,garlic,vegetable,rabbit,,0.1,0.0
288,garlic,vegetable,vegetable broth,,0.2,0.0
289,garlic,vegetable,curry,,0.2,0.0
290,garlic,vegetable,turmeric,spice,0.1,0.0
291,garlic,vegetable,paprika,,0.1,0.0
292,garlic,vegetable,cumin,spice,0.1,0.0
293,garlic,vegetable,chicken,meat,0.6,0.06086956521739131
294,garlic,vegetable,potato,vegetable,0.4,0.043478260869565216
295,garlic,vegetable,pea,vegetable,0.2,0.034782608695652174
296,garlic,vegetable,red wine,alcoholic beverage,0.3,0.043478260869565216
297,garlic,vegetable,clove,spice,0.2,0.008695652173913044
298,garlic,vegetable,salted butter,,0.1,0.0
299,garlic,vegetable,bacon,meat,0.3,0.043478260869565216
300,garlic,vegetable,beef,meat,0.2,0.0782608695652174
301,garlic,vegetable,pork,meat,0.2,0.043478260869565216
302,garlic,vegetable,nutmeg,spice,0.1,0.008695652173913044
303,garlic,vegetable,pasta,,0.1,0.0
304,garlic,vegetable,parmesan,dairy,0.2,0.0
305,garlic,vegetable,puff pastry,,0.2,0.0
306,garlic,vegetable,milk,dairy,0.3,0.06086956521739131
307,garlic,vegetable,schalotte,,0.1,0.0
308,garlic,vegetable,broad bean,,0.1,0.0
309,garlic,vegetable,chilli,,0.1,0.0
310,garlic,vegetable,carrot,vegetable,0.3,0.017391304347826087
311,garlic,vegetable,dried grapes,,0.1,0.0
