FirstIng,SecondIng,commonComp
1471.0,652.0,1
1471.0,105.0,1
1471.0,18.0,0
1471.0,1469.0,0
1471.0,1232.0,1
1471.0,1370.0,1
1240.0,707.0,6
1240.0,439.0,16
1240.0,675.0,9
1240.0,1132.0,25
1240.0,1257.0,47
1240.0,849.0,3
1240.0,579.0,5
1240.0,1338.0,45
1240.0,385.0,54
1240.0,1088.0,38
1240.0,619.0,62
1240.0,1320.0,14
1240.0,19.0,49
1240.0,248.0,72
1240.0,417.0,49
1240.0,1356.0,11
1240.0,749.0,0
1240.0,396.0,43
1240.0,1216.0,22
1240.0,735.0,18
1240.0,1399.0,29
1240.0,1197.0,65
1240.0,133.0,17
1240.0,1183.0,2
1240.0,1140.0,8
1240.0,64.0,24
1240.0,1428.0,68
1240.0,112.0,7
1240.0,260.0,50
1240.0,205.0,42
1240.0,1133.0,30
1240.0,516.0,0
1240.0,483.0,0
1240.0,361.0,42
1240.0,152.0,6
1240.0,1120.0,41
1240.0,296.0,45
1240.0,1382.0,0
1240.0,878.0,33
1240.0,590.0,22
1240.0,466.0,26
1240.0,1251.0,5
1240.0,1488.0,50
1240.0,638.0,0
1240.0,994.0,56
1240.0,652.0,23
1240.0,105.0,29
1240.0,18.0,3
1240.0,1469.0,11
1240.0,1232.0,16
1240.0,1370.0,13
707.0,439.0,10
707.0,675.0,4
707.0,1132.0,7
707.0,1257.0,8
707.0,849.0,2
707.0,579.0,4
707.0,1338.0,1
707.0,385.0,3
707.0,1088.0,1
707.0,619.0,3
707.0,1320.0,9
707.0,19.0,2
707.0,248.0,3
707.0,417.0,2
707.0,1356.0,5
707.0,749.0,0
707.0,396.0,1
707.0,1216.0,5
707.0,735.0,1
707.0,1399.0,5
707.0,1197.0,6
707.0,133.0,1
707.0,1183.0,0
707.0,1140.0,1
707.0,64.0,2
707.0,1428.0,5
707.0,112.0,4
707.0,260.0,3
707.0,205.0,2
707.0,1133.0,1
707.0,516.0,0
707.0,483.0,0
707.0,361.0,2
707.0,152.0,1
707.0,1120.0,8
707.0,296.0,1
707.0,1382.0,0
707.0,878.0,0
707.0,590.0,6
707.0,466.0,0
707.0,1251.0,0
707.0,1488.0,2
707.0,638.0,0
707.0,994.0,2
707.0,652.0,0
707.0,105.0,0
707.0,18.0,0
707.0,1469.0,0
707.0,1232.0,0
707.0,1370.0,0
439.0,675.0,7
439.0,1132.0,19
439.0,1257.0,21
439.0,849.0,7
439.0,579.0,10
439.0,1338.0,5
439.0,385.0,11
439.0,1088.0,3
439.0,619.0,12
439.0,1320.0,20
439.0,19.0,4
439.0,248.0,6
439.0,417.0,4
439.0,1356.0,20
439.0,749.0,0
439.0,396.0,8
439.0,1216.0,13
439.0,735.0,4
439.0,1399.0,13
439.0,1197.0,13
439.0,133.0,3
439.0,1183.0,0
439.0,1140.0,5
439.0,64.0,6
439.0,1428.0,14
439.0,112.0,10
439.0,260.0,12
439.0,205.0,7
439.0,1133.0,6
439.0,516.0,0
439.0,483.0,0
439.0,361.0,8
439.0,152.0,3
439.0,1120.0,16
439.0,296.0,6
439.0,1382.0,0
439.0,878.0,3
439.0,590.0,15
439.0,466.0,4
439.0,1251.0,0
439.0,1488.0,13
439.0,638.0,0
439.0,994.0,6
439.0,652.0,2
439.0,105.0,5
439.0,18.0,1
439.0,1469.0,2
439.0,1232.0,1
439.0,1370.0,1
675.0,1132.0,11
675.0,1257.0,13
675.0,849.0,3
675.0,579.0,5
675.0,1338.0,7
675.0,385.0,8
675.0,1088.0,5
675.0,619.0,7
675.0,1320.0,6
675.0,19.0,6
675.0,248.0,9
675.0,417.0,6
675.0,1356.0,9
675.0,749.0,0
675.0,396.0,3
675.0,1216.0,7
675.0,735.0,2
675.0,1399.0,6
675.0,1197.0,7
675.0,133.0,3
675.0,1183.0,0
675.0,1140.0,1
675.0,64.0,2
675.0,1428.0,10
675.0,112.0,7
675.0,260.0,8
675.0,205.0,6
675.0,1133.0,2
675.0,516.0,0
675.0,483.0,0
675.0,361.0,3
675.0,152.0,1
675.0,1120.0,8
675.0,296.0,6
675.0,1382.0,0
675.0,878.0,5
675.0,590.0,9
675.0,466.0,3
675.0,1251.0,2
675.0,1488.0,5
675.0,638.0,0
675.0,994.0,7
675.0,652.0,4
675.0,105.0,2
675.0,18.0,0
675.0,1469.0,3
675.0,1232.0,0
675.0,1370.0,1
1132.0,1257.0,69
1132.0,849.0,7
1132.0,579.0,9
1132.0,1338.0,18
1132.0,385.0,19
1132.0,1088.0,11
1132.0,619.0,22
1132.0,1320.0,14
1132.0,19.0,19
1132.0,248.0,25
1132.0,417.0,19
